"POOL","NAME","BYTES"
"shared pool","kso: sched delay history",28896
"shared pool","resize operation history",28808
"shared pool","kfmsg",28696
"shared pool","SGA PDB Info Array",28472
"shared pool","KSRMA Object Descriptors",28080
"shared pool","ksv error msg",27720
"shared pool","AQ skiplist state object",27552
"shared pool","kwqicaqe2kc1",27216
"shared pool","row cache",25864
"shared pool","recovery apply status",25320
"shared pool","file iostats dynamic seg ",25232
"shared pool","kcnm.c@203",24912
"shared pool","CGS system incarn array",24864
"shared pool","KEWS statistic metadata",24864
"shared pool","ksunfy: is parent statist",24360
"shared pool","Redo Transsport Destinati",24320
"shared pool","kwsbjcAllocMem: allocate ",24168
"shared pool","latch descriptor dynamic ",23856
"shared pool","SGA structure for ktslgt",23600
"shared pool","KSK plan change state seg",23352
"shared pool","SAGE commit cache node Al",22528
"shared pool","KSK SGA",21904
"shared pool","KSI resource types",21632
"shared pool","kspvpftbl",21592
"shared pool","SGA Parameters Families",21592
"shared pool","param hash values",21592
"shared pool","kfklsod list",21440
"shared pool","ksfs SGA state",21088
"shared pool","OS proc request holder",20768
"shared pool","RULEC",20656
"shared pool","KTSL lat struct",20480
"shared pool","kdfi buf child latch",20480
"shared pool","KEBM Autotask state objec",20336
"shared pool","kglsim count of pinned he",19584
"shared pool","kglsim count of unpinned ",19584
"shared pool","latch where map",19472
"shared pool","memory transfer history",19208
"shared pool","segmented arrays",19168
"shared pool","JSX SGA",18456
"shared pool","KTMC hash latch cleanup",18432
"shared pool","redo allocation latch(es)",17600
"shared pool","ksbcpuwtm_ctx_entry",17480
"shared pool","KTI latch structure",17280
"shared pool","Sync NoAffirm Pending I/O",16896
"shared pool","KSIPC anchor",16808
"shared pool","spfile cleanup structure",16760
"shared pool","name-service table",16696
"shared pool","finding tracking element ",16640
"shared pool","monitoring column usage e",16576
"shared pool","keomm:emptyMon_keommSg",16512
"shared pool","ksfv subheap",16496
"shared pool","kgnfs authp",16464
"shared pool","change notification regis",16416
"shared pool","ksfcd SGA state",16416
"shared pool","change notification obj m",16416
"shared pool","xslongops",16400
"shared pool","ktsj_init_sga proc desc",16400
"shared pool","kxfpsga snapshots",16384
"shared pool","kdmadoht",16384
"shared pool","KCN hash buckets",16384
"shared pool","ktimextht ht",16384
"shared pool","kdCStat hash table",16384
"shared pool","ktilm hash table",16384
"shared pool","IM affinity hash table",16384
"shared pool","ksdhng: blkrs cache",16352
"shared pool","ksdhng: wtr cache",16352
"shared pool","ktilm hash latches",16320
"shared pool","kdCStat latch table",16320
"shared pool","PDB stats array",16240
"shared pool","ksu:system-global statist",16240
"shared pool","ksu:ksusg_emptysta",16240
"shared pool","pending ckpt array for ti",16160
"shared pool","jsksncb: 2",15352
"shared pool","kfgsga",14368
"shared pool","kjci CIC table",14336
"shared pool","LGWR PIC request array",13904
"shared pool","ktg hash buckets",13576
"shared pool","SQL Memory Manager Base W",13400
"shared pool","krvxfda-dta",13400
"shared pool","os statistics",13104
"shared pool","KXDBIO SGA",12896
"shared pool","dlo fib struct",12832
"shared pool","kcbl state objects",12800
"shared pool","Prefetch history buffer",12744
"shared pool","KGX rowlist",12560
"shared pool","log_checkpoint_timeout",12360
"shared pool","Policy Cache H",12336
"shared pool","KTSL reco struct",12288
"shared pool","ksfdss bitmap array",12288
"shared pool","KTF MAPPINGS",12288
"shared pool","KCN SCN/Time map",12288
"shared pool","kcbl seq io throughput",12000
"shared pool","reserved entries for all ",11968
"shared pool","kebm slave message",11912
"shared pool","parameter text value",11824
"shared pool","media recovery state obje",11592
"shared pool","sim segment hits",11520
"shared pool","sim lru segments",11520
"shared pool","KGLSGTYPSTA",11448
"shared pool","sht bkt arr allo",11264
"shared pool","ksws service object",11232
"shared pool","qesmmaInitialize: pa_qesm",11088
"shared pool","kspcmhdl",11032
"shared pool","KFG SO child",11024
"shared pool","SWRF Metric Global SGA",10880
"shared pool","fencing reid",10768
"shared pool","KKTIN",10744
"shared pool","vips_package_incident_det",10560
"shared pool","alert_ext",10560
"shared pool","KTLI Bkt latches",10504
"shared pool","process allocation slots",10400
"shared pool","sort segment handle",10328
"shared pool","KGLSGSTA",10296
"shared pool","kgnfs htab array",10280
"shared pool","kdfi cmap elem child latc",10240
"shared pool","DNFS Disp comp array",10240
"shared pool","KQF runtime defined table",10080
"shared pool","row cache child latch",9760
"shared pool","block iostats dynamic seg",9744
"shared pool","KSK PDB SGA",9696
"shared pool","knlpmclsini - alloc",9632
"shared pool","archive_lag_target",9632
"shared pool","xssinfo",9360
"shared pool","flashback_marker_cache_si",9200
"shared pool","ktcnqrow columns",9024
"shared pool","KFIAC Fencing state objec",8720
"shared pool","KSVR SGA",8624
"shared pool","ksgm sga instance configu",8584
"shared pool","krsv_notifier_cb",8440
"shared pool","kspd run-time context",8320
"shared pool","expression usage tracking",8320
"shared pool","krdm mira recovery instan",8296
"shared pool","finding tracking element",8288
"shared pool","kfasga",8216
"shared pool","kglsim hash table",8208
"shared pool","primem_kfmdsg",8200
"shared pool","kgh latchdir entries",8192
"shared pool","ksv work msg",8192
"shared pool","Allocate KPDB Hash Table",8192
"shared pool","gc ping pin array",8192
"shared pool","LGWR debug module memory",8192
"shared pool","peshm.c:Global",8176
"shared pool","ksz parent",8176
"shared pool","replication session stats",8176
"shared pool","ksu:ksunf_freelist",8064
"shared pool","log_ext",8064
"shared pool","stat hash values",8000
"shared pool","330.kgght",7992
"shared pool","sga latch table",7952
"shared pool","ksfv instance descriptors",7936
"shared pool","KEWS fixed SGA",7920
"shared pool","kdnnfy : array of kdnss",7872
"shared pool","ksunfy : SSO free list",7872
"shared pool","X$KCNT array",7872
"shared pool","array of sessions",7872
"shared pool","event-class map",7696
"shared pool","SWRF Metric DRM Table",7632
"shared pool","am statistics",7448
"shared pool","ktcncchildlatch",7424
"shared pool","KKTSR",7352
"shared pool","recov_kgqbtctx",7320
"shared pool","AQ Slave list",7304
"shared pool","object queue hash table d",7296
"shared pool","kcbl statistics",7168
"shared pool","vincident",7104
"shared pool","diagv_incident",7104
"shared pool","vips_pkg_incident_candida",7104
"shared pool","kwssnmapAlloc",7072
"shared pool","vnot_exist_incident",6912
"shared pool","KFG state obj",6736
"shared pool","State object pools",6720
"shared pool","INCIDENT",6528
"shared pool","kpummst global in the SGA",6448
"shared pool","ksb action records",6360
"shared pool","HM_FINDING",6144
"shared pool","ket (AutoTask) SGA",6144
"shared pool","cp connection",6040
"shared pool","HM Hang Stats",6016
"shared pool","vproblem",5952
"shared pool","KSK PDB SGA kskcgmetric",5888
"shared pool","SGA Deferred Parameter Ta",5864
"shared pool","vproblem2",5760
"shared pool","sim segment num bufs",5760
"shared pool","procs_kfgbsg",5720
"shared pool","SWRF Metric RRM Table",5664
"shared pool","kcbi io desc",5632
"shared pool","vproblem1",5568
"shared pool","kwstxnInitSga: tspl_kwsmc",5520
"shared pool","KTCNQROW colnames",5504
"shared pool","11G QMN so",5416
"shared pool","vproblem_int",5376
"shared pool","KTCN: Hash Table Segmente",5328
"shared pool","KSGL anchor",5304
"shared pool","vproblem_lastinc",5184
"shared pool","kebm slave reply",5168
"shared pool","kgnfs ctab array",5160
"shared pool","sim trace buf",5144
"shared pool","pso child tracebuf ptrs",5120
"shared pool","logout storm management",5120
"shared pool","processes",5120
"shared pool","list",5120
"shared pool","pmon map array",5120
"shared pool","kwqmncini-tbl",5080
"shared pool","OS file lock",5072
"shared pool","KCB buffer wait statistic",5032
"shared pool","I/O stat latches",4960
"shared pool","jsksncb: 6",4872
"shared pool","ksfd: consumer group i/o ",4864
"shared pool","KTUR HIST INFO",4840
"shared pool","Service-level ID trace se",4816
"shared pool","Transportable DB Converte",4808
"shared pool","HM_RUN",4800
"shared pool","KKTDF",4728
"shared pool","invalid low rba queue",4608
"shared pool","DDE_USER_ACTION_PARAMETER",4608
"shared pool","Checkpoint queue",4608
"shared pool","SGA cascade list",4504
"shared pool","parameter value memory",4496
"shared pool","Log Archive Config Contex",4488
"shared pool","buffer_pool_desc_array",4480
"shared pool","SGA umbrella cascade map ",4480
"shared pool","KFK SGA",4448
"shared pool","vhm_run",4416
"shared pool","HM_RECOMMENDATION",4416
"shared pool","emon srv array",4400
"shared pool","jsksncb:59",4336
"shared pool","ASM rollback operations",4272
"shared pool","ksbsa pointer array",4248
"shared pool","RTA read control file ind",4224
"shared pool","column vectors in finding",4160
"shared pool","modification hash table e",4160
"shared pool","SWRF Alerted Metric Metad",4160
"shared pool","Sort Segment extent descr",4160
"shared pool","KTTE TS Info",4160
"shared pool","joxs heap",4152
"shared pool","xscalc",4144
"shared pool","KTTE File Info",4144
"shared pool","AQ coordinator job list",4144
"shared pool","kkj jobq  work items",4144
"shared pool","Sort Segment file descrip",4128
"shared pool","KTMSJ latch cleanup",4112
"shared pool","kwqmncal: allocate buffer",4112
"shared pool","kdmgdFreeHTQueue",4112
"shared pool","cinfo_kfnvsgasmb",4104
"shared pool","kfkhsh_kfdsg",4104
"shared pool","kfkid hash",4104
"shared pool","namhsh_kfdsg",4104
"shared pool","qmn tasks",4104
"shared pool","dpslut_kfdsg",4096
"shared pool","keomgNotify 1:descriptor ",4096
"shared pool","local undo segment bit ve",4096
"shared pool","dev2node map",4096
"shared pool","grplut_kfgsg",4096
"shared pool","kdmadohtincar",4096
"shared pool","IPS_PACKAGE",4032
"shared pool","threshold alert structure",4032
"shared pool","KTU avail cache",4032
"shared pool","jsksncb: 4",4032
"shared pool","vadr_control",4032
"shared pool","IMCDT Mgmt",4016
"shared pool","IP acl table h",4016
"shared pool","clear orls state object",4016
"shared pool","name-service recovery",4016
"shared pool","pesom.c:Object",4016
"shared pool","ksir State Object",4016
"shared pool","object lock state object",4016
"shared pool","alert threshol",4016
"shared pool","KSFQ buffer pool",4016
"shared pool","KKKI consumer ",4016
"shared pool","kerpi:heap",4016
"shared pool","KTCN: query inv Segmented",4016
"shared pool","quiescing session",4016
"shared pool","Exadirect acl ",4016
"shared pool","kso req alloc",4016
"shared pool","Client ID trace settings",4016
"shared pool","KTSJ subheap",4016
"shared pool","KEWS statistic maps",4008
"shared pool","PMON blockers",4000
"shared pool","jsksncb: 3",4000
"shared pool","Sort Segment descriptors",3944
"shared pool","SWRF Metric RBSM struct",3936
"shared pool","kwsbgini: vmPool_kwsbgsgn",3928
"shared pool","kqaq_req",3920
"shared pool","property service SO",3888
"shared pool","change tracking state cha",3888
"shared pool","cp cmon array",3848
"shared pool","KEWS aggregation objs",3848
"shared pool","vinc_meter_info",3840
"shared pool","key vector",3760
"shared pool","sched job queue",3760
"shared pool","analytic workspace",3760
"shared pool","Backup Appliance state ch",3760
"shared pool","ASM map operations",3760
"shared pool","ASM kfk state object",3760
"shared pool","KWQDL child latches",3648
"shared pool","DFW_PURGE",3648
"shared pool","PROBLEM",3648
"shared pool","vips_file_copy_log",3648
"shared pool","vpdb_problem",3648
"shared pool","temp lob duration state o",3632
"shared pool","plugin datafile array",3616
"shared pool","ksfd: file i/o stats poin",3536
"shared pool","Big SQL Shared Memory SO",3528
"shared pool","KFM state obj",3504
"shared pool","statement queuing",3504
"shared pool","ASMCMD BG process",3504
"shared pool","log_simultaneous_copies",3456
"shared pool","KTI latches",3456
"shared pool","vips_pkg_file",3456
"shared pool","ksm pdb struc",3400
"shared pool","KTMA jlatches",3360
"shared pool","KTMA sort latches",3360
"shared pool","KTMA space latches",3360
"shared pool","HM RSLN RC",3328
"shared pool","INC_METER_SUMMARY",3264
"shared pool","ADR_CONTROL",3264
"shared pool","bloom filter",3248
"shared pool","kcfis state object",3248
"shared pool","ts encryption global key ",3216
"shared pool","ts encryption key afn rev",3208
"shared pool","ksfd: block i/o stats poi",3200
"shared pool","ksfdsscloneinfo allocatio",3200
"shared pool","dbf io stats",3200
"shared pool","KSK Redo session info",3160
"shared pool","PX QC msg stats",3128
"shared pool","PX server msg stats",3128
"shared pool","emon con array",3120
"shared pool","SHRINK STAT",3088
"shared pool","KXFR Psuedo Hash Array fo",3072
"shared pool","HM_MESSAGE",3072
"shared pool","INC_METER_INFO",3072
"shared pool","vips_package_history",3072
"shared pool","AWR Table Info (KEW layer",3048
"shared pool","KSI resource reuse count",3000
"shared pool","KSI resource miss count",3000
"shared pool","RMAN wallet access state ",2992
"shared pool","ASM KFFD SO",2992
"shared pool","active checkpoint queue e",2992
"shared pool","XS state object handle",2992
"shared pool","resumable",2992
"shared pool","cp pool array",2984
"shared pool","KXFR Hash Array latches a",2944
"shared pool","KEWS statistic name",2936
"shared pool","temporary foreign ref",2920
"shared pool","SGA structure for kelr",2912
"shared pool","reservation state object",2888
"shared pool","IPS_PROGRESS_LOG",2880
"shared pool","vips_package_file",2880
"shared pool","EM_DIAG_JOB",2880
"shared pool","KSXP test table columns d",2880
"shared pool","IPS_PACKAGE_HISTORY",2880
"shared pool","IPS_CONFIGURATION",2880
"shared pool","dir_ext",2880
"shared pool","DDE_USER_ACTION_DEF",2880
"shared pool","DFW_PURGE_ITEM",2880
"shared pool","PDB_SPACE_MGMT",2880
"shared pool","KPDBE SGA Tag Id Mapping ",2856
"shared pool","ksoreqholder latches",2816
"shared pool","Expression usage element ",2816
"shared pool","KTPR HIST TB",2808
"shared pool","kss unit test",2784
"shared pool","kwsoptSGAINfy:optlist",2752
"shared pool","name-service request",2736
"shared pool","Online Datafile Move sess",2736
"shared pool","ksir PrivOp State Object",2736
"shared pool","ASM scan context",2736
"shared pool","ASM generic network state",2736
"shared pool","cp srv array",2736
"shared pool","name-service entry",2736
"shared pool","block media rcv state obj",2736
"shared pool","ksmd unit test 1",2736
"shared pool","kghrcx latches",2720
"shared pool","kglsim latch area",2720
"shared pool","kglsim alloc latch area",2720
"shared pool","kglsim used list arr",2720
"shared pool","EM_TARGET_INFO",2688
"shared pool","EM_USER_ACTIVITY",2688
"shared pool","INC_METER_CONFIG",2688
"shared pool","relmd_ext",2688
"shared pool","KQF optimizer stats table",2680
"shared pool","event classes",2672
"shared pool","KSIPCASPC SGA",2672
"shared pool","kwsbgini-actvmPooltab_kws",2640
"shared pool","signature element table",2640
"shared pool","kwscSGAInitNfy: flst_kwsm",2640
"shared pool","handoff",2632
"shared pool","DISPATCHERS INFO",2632
"shared pool","temporary table lock",2632
"shared pool","ksbxic target obj",2608
"shared pool","populate state object",2584
"shared pool","Context of deferred reuse",2560
"shared pool","kdfi hash bucket child la",2560
"shared pool","DNFS Disp comp array coun",2560
"shared pool","pmon slaves array",2560
"shared pool","Sql control element child",2560
"shared pool","SHARED SERVERS INFO",2544
"shared pool","grptab_kfgsg",2504
"shared pool","SWRF Metric ksuTimebuf",2504
"shared pool","SWRF Metric WCTimebuf",2504
"shared pool","DDE_USER_ACTION",2496
"shared pool","vincident_file",2496
"shared pool","PICKLEERR",2496
"shared pool","vtest_exists",2496
"shared pool","ksvr msg cache",2480
"shared pool","dbcomp session",2480
"shared pool","nonlogged block cache wri",2480
"shared pool","kwsbgini-fmPool_kwsbgsgn",2464
"shared pool","KEBM SGA struct for Autot",2448
